license,file_name,coco_url,height,width,date_captured,id
6,000000466319.jpg,http://images.cocodataset.org/test2017/000000466319.jpg,480,640,2013-11-14 11:04:33,466319
2,000000523573.jpg,http://images.cocodataset.org/test2017/000000523573.jpg,500,423,2013-11-14 12:21:59,523573
3,000000308929.jpg,http://images.cocodataset.org/test2017/000000308929.jpg,640,425,2013-11-14 15:53:03,308929
2,000000057540.jpg,http://images.cocodataset.org/test2017/000000057540.jpg,266,640,2013-11-14 16:39:48,57540
2,000000579853.jpg,http://images.cocodataset.org/test2017/000000579853.jpg,359,640,2013-11-14 16:40:00,579853
3,000000413171.jpg,http://images.cocodataset.org/test2017/000000413171.jpg,333,500,2013-11-14 16:40:04,413171
1,000000296903.jpg,http://images.cocodataset.org/test2017/000000296903.jpg,480,640,2013-11-14 16:52:05,296903
2,000000540552.jpg,http://images.cocodataset.org/test2017/000000540552.jpg,500,333,2013-11-14 17:01:31,540552
4,000000186384.jpg,http://images.cocodataset.org/test2017/000000186384.jpg,640,424,2013-11-14 17:05:50,186384
2,000000509990.jpg,http://images.cocodataset.org/test2017/000000509990.jpg,480,640,2013-11-14 17:43:04,509990
3,000000361851.jpg,http://images.cocodataset.org/test2017/000000361851.jpg,427,640,2013-11-14 17:47:13,361851
3,000000252230.jpg,http://images.cocodataset.org/test2017/000000252230.jpg,640,403,2013-11-14 17:48:28,252230
3,000000104129.jpg,http://images.cocodataset.org/test2017/000000104129.jpg,480,640,2013-11-14 17:48:31,104129
3,000000133861.jpg,http://images.cocodataset.org/test2017/000000133861.jpg,640,480,2013-11-14 17:49:41,133861
4,000000565789.jpg,http://images.cocodataset.org/test2017/000000565789.jpg,425,640,2013-11-14 17:49:48,565789
3,000000247972.jpg,http://images.cocodataset.org/test2017/000000247972.jpg,534,640,2013-11-14 17:49:52,247972
3,000000434451.jpg,http://images.cocodataset.org/test2017/000000434451.jpg,413,640,2013-11-14 17:51:36,434451
3,000000200433.jpg,http://images.cocodataset.org/test2017/000000200433.jpg,640,469,2013-11-14 17:52:33,200433
2,000000021611.jpg,http://images.cocodataset.org/test2017/000000021611.jpg,480,640,2013-11-14 18:18:15,21611
4,000000005634.jpg,http://images.cocodataset.org/test2017/000000005634.jpg,427,640,2013-11-14 18:21:27,5634
2,000000203735.jpg,http://images.cocodataset.org/test2017/000000203735.jpg,424,640,2013-11-14 18:27:04,203735
4,000000426258.jpg,http://images.cocodataset.org/test2017/000000426258.jpg,480,640,2013-11-14 18:28:22,426258
1,000000119653.jpg,http://images.cocodataset.org/test2017/000000119653.jpg,480,640,2013-11-14 19:16:06,119653
3,000000334765.jpg,http://images.cocodataset.org/test2017/000000334765.jpg,375,500,2013-11-14 19:35:26,334765
2,000000295047.jpg,http://images.cocodataset.org/test2017/000000295047.jpg,427,640,2013-11-14 20:11:08,295047
2,000000507731.jpg,http://images.cocodataset.org/test2017/000000507731.jpg,427,640,2013-11-14 20:11:10,507731
5,000000535170.jpg,http://images.cocodataset.org/test2017/000000535170.jpg,427,640,2013-11-14 20:13:08,535170
1,000000008301.jpg,http://images.cocodataset.org/test2017/000000008301.jpg,375,500,2013-11-14 20:27:26,8301
3,000000401222.jpg,http://images.cocodataset.org/test2017/000000401222.jpg,426,640,2013-11-14 20:32:03,401222
2,000000098637.jpg,http://images.cocodataset.org/test2017/000000098637.jpg,310,640,2013-11-14 20:32:39,98637
4,000000159079.jpg,http://images.cocodataset.org/test2017/000000159079.jpg,612,612,2013-11-14 20:32:58,159079
4,000000289023.jpg,http://images.cocodataset.org/test2017/000000289023.jpg,454,640,2013-11-14 20:44:40,289023
1,000000208755.jpg,http://images.cocodataset.org/test2017/000000208755.jpg,424,640,2013-11-14 20:50:48,208755
1,000000437561.jpg,http://images.cocodataset.org/test2017/000000437561.jpg,480,640,2013-11-14 20:52:30,437561
3,000000032755.jpg,http://images.cocodataset.org/test2017/000000032755.jpg,640,529,2013-11-14 20:54:16,32755
1,000000497278.jpg,http://images.cocodataset.org/test2017/000000497278.jpg,376,640,2013-11-14 20:56:44,497278
4,000000301576.jpg,http://images.cocodataset.org/test2017/000000301576.jpg,375,500,2013-11-14 21:17:11,301576
3,000000539885.jpg,http://images.cocodataset.org/test2017/000000539885.jpg,427,640,2013-11-14 21:17:27,539885
1,000000154933.jpg,http://images.cocodataset.org/test2017/000000154933.jpg,480,640,2013-11-14 21:28:38,154933
3,000000415462.jpg,http://images.cocodataset.org/test2017/000000415462.jpg,334,500,2013-11-14 21:42:48,415462
3,000000189456.jpg,http://images.cocodataset.org/test2017/000000189456.jpg,427,640,2013-11-14 22:01:10,189456
3,000000044731.jpg,http://images.cocodataset.org/test2017/000000044731.jpg,500,375,2013-11-14 22:03:40,44731
3,000000093529.jpg,http://images.cocodataset.org/test2017/000000093529.jpg,427,640,2013-11-14 22:04:35,93529
6,000000029665.jpg,http://images.cocodataset.org/test2017/000000029665.jpg,360,640,2013-11-14 22:27:11,29665
4,000000220717.jpg,http://images.cocodataset.org/test2017/000000220717.jpg,640,463,2013-11-14 23:00:57,220717
2,000000138705.jpg,http://images.cocodataset.org/test2017/000000138705.jpg,431,640,2013-11-14 23:29:15,138705
5,000000492908.jpg,http://images.cocodataset.org/test2017/000000492908.jpg,427,640,2013-11-15 00:03:38,492908
2,000000154082.jpg,http://images.cocodataset.org/test2017/000000154082.jpg,480,640,2013-11-15 00:52:25,154082
4,000000226094.jpg,http://images.cocodataset.org/test2017/000000226094.jpg,640,491,2013-11-15 00:53:39,226094
1,000000497944.jpg,http://images.cocodataset.org/test2017/000000497944.jpg,612,612,2013-11-15 00:59:30,497944
1,000000324100.jpg,http://images.cocodataset.org/test2017/000000324100.jpg,480,640,2013-11-15 01:00:53,324100
4,000000453608.jpg,http://images.cocodataset.org/test2017/000000453608.jpg,640,427,2013-11-15 01:05:59,453608
2,000000442920.jpg,http://images.cocodataset.org/test2017/000000442920.jpg,240,320,2013-11-15 01:50:20,442920
3,000000348330.jpg,http://images.cocodataset.org/test2017/000000348330.jpg,640,360,2013-11-15 02:21:26,348330
1,000000552653.jpg,http://images.cocodataset.org/test2017/000000552653.jpg,640,480,2013-11-15 02:31:14,552653
1,000000250573.jpg,http://images.cocodataset.org/test2017/000000250573.jpg,480,640,2013-11-15 02:34:15,250573
